timestamp,market,outcome,entry_price,size_usdc,tokens,market_end_ts,payout_price,pnl_usdc,settled_at,result
2026-03-18T04:21:34.462251+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.5380013377016869,6.35795,11.817721545379095,1773807900,,,,OPEN
2026-03-18T04:21:35.081869+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5148013249114397,6.0237,11.701018836803199,1773808200,0.0,-35.741099999999996,2026-03-18T04:31:17.201028+00:00,LOSS
2026-03-18T04:21:35.584524+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5142462113134588,6.0237,11.713649741073645,1773808200,0.0,-35.741099999999996,2026-03-18T04:31:17.201028+00:00,LOSS
2026-03-18T04:21:36.099352+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.492515109435655,5.7563,11.687560218397799,1773808200,1.0,34.79256943994504,2026-03-18T04:31:17.202207+00:00,WIN
2026-03-18T04:21:36.600128+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.4984749462939011,5.7563,11.547822097775166,1773808200,1.0,34.79256943994504,2026-03-18T04:31:17.202207+00:00,WIN
2026-03-18T04:21:37.216563+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5362538787763756,6.35795,11.856231258424783,1773807900,,,,OPEN
2026-03-18T04:21:37.730901+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.5361098898886977,6.35795,11.859415615929004,1773807900,,,,OPEN
2026-03-18T04:21:38.231716+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.4654110083959969,5.42205,11.650025251200388,1773807900,,,,OPEN
2026-03-18T04:21:38.732722+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.46647822504992575,5.42205,11.623372129362938,1773807900,,,,OPEN
2026-03-18T04:21:39.349659+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5031081275820825,5.89,11.7072249027403,1773808200,0.0,-39.8858,2026-03-18T04:31:15.857720+00:00,LOSS
2026-03-18T04:21:39.865300+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5086723275399704,5.89,11.579163404632379,1773808200,0.0,-39.8858,2026-03-18T04:31:15.857720+00:00,LOSS
2026-03-18T04:21:40.379922+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.501703647723262,5.89,11.739998357055804,1773808200,1.0,37.806363030074166,2026-03-18T04:31:15.858651+00:00,WIN
2026-03-18T04:21:40.882026+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.5016326985987964,5.89,11.741658820193448,1773808200,1.0,37.806363030074166,2026-03-18T04:31:15.858651+00:00,WIN
2026-03-18T04:24:41.552029+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.6452741127970741,7.82865,12.132285868504932,1773807900,,,,OPEN
2026-03-18T04:24:42.064786+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.6511960313378693,7.82865,12.021955944535156,1773807900,,,,OPEN
2026-03-18T04:24:42.569039+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.3578315982886811,3.95135,11.042484841744589,1773807900,,,,OPEN
2026-03-18T04:24:43.072923+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.36194208925246546,3.95135,10.917077945151096,1773807900,,,,OPEN
2026-03-18T04:24:43.688294+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5082376613673336,5.95685,11.720599343177424,1773808200,0.0,-35.7411,2026-03-18T04:31:23.443798+00:00,LOSS
2026-03-18T04:24:44.189333+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.5089203074091517,5.95685,11.704877783961035,1773808200,0.0,-35.7411,2026-03-18T04:31:23.443798+00:00,LOSS
2026-03-18T04:24:44.703993+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.49934995982485325,5.82315,11.661460836088716,1773808200,1.0,35.19304758563178,2026-03-18T04:31:23.444738+00:00,WIN
2026-03-18T04:24:45.205613+00:00,"March 18, 12:25AM-12:30AM ET",Down,0.4971684902126392,5.82315,11.712628846428775,1773808200,1.0,35.19304758563178,2026-03-18T04:31:23.444738+00:00,WIN
2026-03-18T04:24:45.820768+00:00,"March 18, 12:20AM-12:25AM ET",Up,0.07476514844100952,1.0,13.375215870654097,1773807900,,,,OPEN
2026-03-18T04:24:46.321841+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.9417263472992092,11.70595,12.430309541165185,1773807900,,,,OPEN
2026-03-18T04:24:46.823725+00:00,"March 18, 12:20AM-12:25AM ET",Down,0.9356013133269,11.70595,12.511686156547677,1773807900,,,,OPEN
2026-03-18T04:24:47.453011+00:00,"March 18, 12:25AM-12:30AM ET",Up,0.4956308233224804,5.82315,11.748966621898713,1773808200,0.0,-35.741099999999996,2026-03-18T04:31:17.201028+00:00,LOSS
